id;perturbado;documento_perturbado;sentencas
2;['Como enfileirar elementos em uma pilha ?'];Como enfileirar elementos em uma pilha ?';[['Como enfileirar elementos em uma [MASK] ?', 'fila', 'pilha', 1.0, 'pilha']]
4;['Como desenfileirar elementos em uma pilha ?'];Como desenfileirar elementos em uma pilha ?';[['Como desenfileirar elementos em uma [MASK] ?', 'fila', 'pilha', 1.0, 'pilha']]
6;['Como empilhar elementos em uma fila?'];Como empilhar elementos em uma fila?;[['Como empilhar elementos em uma [MASK] ?', 'pilha', 'fila', 1.0, 'fila']]
8;['Como empilhar e desempilhar elementos em uma fila?'];Como empilhar e desempilhar elementos em uma fila ?;[['Como empilhar e desempilhar elementos em uma [MASK] ?', 'pilha', 'fila', 1.0, 'fila']]
10;['Como empilhar elementos em uma estrutura de dados fila?'];Como empilhar elementos em uma estrutura de dados fila ?;[['Como empilhar elementos em uma estrutura de dados [MASK] ?', 'pilha', 'fila', 1.0, 'fila']]
12;['Como empilhar e desempilhar elementos em uma estrutura de dados fila?'];Como empilhar e desempilhar elementos em uma estrutura de dados fila?;[['Como empilhar e desempilhar elementos em uma estrutura de dados [MASK] ?', 'pilha', 'fila', 1.0, 'fila']]
14;['Como desempilhar elementos em uma fila ?'];Como desempilhar elementos em uma fila ?;[['Como desempilhar elementos em uma [MASK] ?', 'pilha', 'fila', 1.0, 'fila']]
16;['Como desempilhar elementos em uma estrutura de dados fila ?'];Como desempilhar elementos em uma estrutura de dados fila ?;[['Como desempilhar elementos em uma estrutura de dados [MASK] ?', 'pilha', 'fila', 1.0, 'fila']]
18;['O que é uma fila e como empilhar seu elemento ?'];O que é uma fila e como empilhar seu elemento ?;[['O que é uma [MASK] e como empilhar seu elemento ?', 'pilha', 'fila', 1.0, 'fila']]
20;['O que é uma pilha e como enfileirar seu elemento ?'];O que é uma pilha e como enfileirar seu elemento ?;[['O que é uma [MASK] e como enfileirar seu elemento ?', 'fila', 'pilha', 1.0, 'pilha']]
22;['O que é uma pilha e como desenfileirar um elemento nela ?'];O que é uma pilha e como desenfileirar um elemento nela ?;[['O que é uma [MASK] e como desenfileirar um elemento nela ?', 'fila', 'pilha', 1.0, 'pilha']]
24;['O que é uma fila e como desempilhar um elemento nela ?'];O que é uma fila e como desempilhar um elemento nela ?;[['O que é uma [MASK] e como desempilhar um elemento nela ?', 'pilha', 'fila', 1.0, 'fila']]
26;['O que é uma pilha e como enfileirar um elemento nela ?'];O que é uma pilha e como enfileirar um elemento nela ?;[['O que é uma [MASK] e como enfileirar um elemento nela?', 'fila', 'pilha', 1.0, 'pilha']]
28;['O que é uma fila e como empilhar um elemento nela ?'];O que é uma fila e como empilhar um elemento nela ?;[['O que é uma [MASK] e como empilhar um elemento nela?', 'pilha', 'fila', 1.0, 'fila']]
30;['O que é uma fila e como empilhar e desempilhar seus elementos ?'];O que é uma fila e como empilhar e desempilhar seus elementos ;[['O que é uma [MASK] e como empilhar e desempilhar seus elementos?', 'pilha', 'fila', 1.0, 'fila']]
32;['O que é uma pilha e como enfileirar e desenfileirar seus elementos ?'];O que é uma pilha e como enfileirar e desenfileirar seus elementos ?;[['O que é uma [MASK] e como enfileirar e desenfileirar seus elementos ?', 'fila', 'pilha', 1.0, 'pilha']]
34;['Como são implementadas as operações de empilhar e desempilhar elementos em uma fila ?'];Como são implementadas as operações de empilhar e desempilhar elementos em uma fila?;[['Como são implementadas as operações de empilhar e desempilhar elementos em uma [MASK] ?', 'pilha', 'fila', 1.0, 'fila']] 
36;['Como são implementadas as operações de enfileirar e desenfileirar elementos em uma pilha ?'];Como são implementadas as operações de enfileirar e desenfileirar elementos em uma pilha ?;[['Como são implementadas as operações de enfileirar e desenfileirar elementos em uma [MASK] ?', 'fila', 'pilha', 1.0, 'pilha']]
38;['Em uma pilha a operação de enfileirar ocorre em qual extremidade ?'];Em uma pilha a operação de enfileirar ocorre em qual extremidade ?;[['Em uma pilha a operação de [MASK] ocorre em qual extremidade ?', 'empilhar', 'enfileirar', 1.0, 'enfileirar']] 
40;['Em uma fila a operação de empilhar ocorre em qual extremidade ?'];Em uma fila a operação de empilhar ocorre em qual extremidade ?;[['Em uma fila a operação de [MASK] ocorre em qual extremidade?', 'enfileirar', 'empilhar', 1.0, 'empilhar']] 
 
